CustomerID,name,category,type,country,category
192896,No Plan Selected,rotate,standard,us,static
192924,No Plan Selected,rotate,standard,us,static
193309,No Plan Selected,rotate,standard,us,static
193365,No Plan Selected,rotate,standard,de,static
192329,No Plan Selected,rotate,standard,us,static
140781,No Plan Selected,rotate,standard,us,static
193918,No Plan Selected,rotate,standard,us,semi-3
178679,No Plan Selected,rotate,standard,us,static
194233,No Plan Selected,rotate,standard,us,static
194247,No Plan Selected,rotate,standard,us,static
194261,No Plan Selected,rotate,standard,us,semi-3
179995,No Plan Selected,rotate,standard,us,static
194485,No Plan Selected,rotate,standard,de,static
170419,No Plan Selected,rotate,standard,us,semi-3
194730,No Plan Selected,rotate,standard,br,static
194849,No Plan Selected,rotate,standard,us,static
192546,No Plan Selected,rotate,standard,br,static
107552,No Plan Selected,rotate,standard,de,static
195878,No Plan Selected,rotate,standard,us,static
195934,No Plan Selected,rotate,standard,us,static
195997,No Plan Selected,rotate,standard,us,static
196088,No Plan Selected,rotate,standard,us,static
196368,No Plan Selected,rotate,standard,us,static
196431,No Plan Selected,rotate,standard,us,semi-3
196431,No Plan Selected,rotate,standard,us,static
196459,No Plan Selected,rotate,standard,us,static
196718,No Plan Selected,rotate,standard,us,static
23419,No Plan Selected,rotate,standard,us,semi-3
167822,No Plan Selected,rotate,standard,br,semi-3
196991,No Plan Selected,rotate,standard,us,static
197222,No Plan Selected,rotate,standard,us,semi-3
197285,No Plan Selected,rotate,standard,de,static
176096,No Plan Selected,rotate,standard,us,static
15943,No Plan Selected,rotate,standard,us,static
197467,No Plan Selected,rotate,standard,us,static
197530,No Plan Selected,rotate,standard,us,static
188465,No Plan Selected,rotate,standard,us,static
197649,No Plan Selected,rotate,standard,de,static
197677,No Plan Selected,rotate,standard,de,static
197719,No Plan Selected,rotate,standard,us,static
26618,No Plan Selected,rotate,standard,br,static
197894,No Plan Selected,rotate,standard,de,static
173765,No Plan Selected,rotate,standard,br,static
191314,No Plan Selected,rotate,standard,us,semi-3
198181,No Plan Selected,rotate,standard,us,static
198559,No Plan Selected,rotate,standard,us,static
198573,No Plan Selected,rotate,standard,us,semi-3
197894,No Plan Selected,rotate,standard,us,static
198692,No Plan Selected,rotate,standard,us,static
198699,No Plan Selected,rotate,standard,us,static
134320,No Plan Selected,rotate,standard,us,static
76864,No Plan Selected,rotate,standard,us,semi-3
20745,No Plan Selected,rotate,standard,us,static
26604,No Plan Selected,rotate,standard,us,static
148334,No Plan Selected,rotate,standard,us,static
147074,No Plan Selected,rotate,standard,us,static
112627,No Plan Selected,rotate,standard,us,semi-3
46204,No Plan Selected,rotate,standard,us,rotate
199511,No Plan Selected,rotate,standard,us,static
199532,No Plan Selected,rotate,standard,us,semi-3
199651,No Plan Selected,rotate,standard,de,static
199665,No Plan Selected,rotate,standard,br,static
199826,No Plan Selected,rotate,standard,us,static
200351,No Plan Selected,rotate,standard,us,static
200407,No Plan Selected,rotate,standard,us,static
198965,No Plan Selected,rotate,standard,de,static
200540,No Plan Selected,rotate,standard,us,static
200547,No Plan Selected,rotate,standard,us,semi-3
200638,No Plan Selected,rotate,standard,us,semi-3
200715,No Plan Selected,rotate,standard,us,static
200778,No Plan Selected,rotate,standard,us,semi-3
201051,No Plan Selected,rotate,standard,us,sneaker
25904,No Plan Selected,rotate,standard,us,static
199630,No Plan Selected,rotate,standard,br,static
142209,No Plan Selected,rotate,standard,us,block
201261,No Plan Selected,rotate,standard,us,static
20745,No Plan Selected,rotate,standard,us,sneaker
201716,No Plan Selected,rotate,standard,us,static
148033,No Plan Selected,rotate,standard,us,static
69395,No Plan Selected,rotate,standard,us,static
201877,No Plan Selected,rotate,standard,br,static
202171,No Plan Selected,rotate,standard,us,semi-3
118213,No Plan Selected,rotate,standard,us,static
202493,No Plan Selected,rotate,standard,us,static
202542,No Plan Selected,rotate,standard,us,static
202801,No Plan Selected,rotate,standard,us,static
106684,No Plan Selected,rotate,standard,us,static
202892,No Plan Selected,rotate,standard,us,static
202913,No Plan Selected,rotate,standard,us,static
194562,No Plan Selected,rotate,standard,us,static
203025,No Plan Selected,rotate,standard,us,static
203046,No Plan Selected,rotate,standard,us,static
187863,No Plan Selected,rotate,standard,de,static
203277,No Plan Selected,rotate,standard,br,static
31812,No Plan Selected,rotate,standard,us,semi-3
31329,No Plan Selected,rotate,standard,us,semi-3
133669,No Plan Selected,rotate,standard,us,semi-3
203907,No Plan Selected,rotate,standard,us,semi-3
203928,No Plan Selected,rotate,standard,us,static
191720,No Plan Selected,rotate,standard,us,rotate
204257,No Plan Selected,rotate,standard,us,sneaker
110905,No Plan Selected,rotate,standard,br,rotate
110905,No Plan Selected,rotate,standard,de,rotate
204299,No Plan Selected,rotate,standard,us,static
204334,No Plan Selected,rotate,standard,us,semi-3
164308,No Plan Selected,rotate,standard,us,static
204502,No Plan Selected,rotate,standard,br,rotate
204740,No Plan Selected,rotate,standard,gb,static
204831,No Plan Selected,rotate,standard,br,static
111514,No Plan Selected,rotate,standard,us,static
204901,No Plan Selected,rotate,standard,us,static
204873,No Plan Selected,rotate,standard,us,static
205349,No Plan Selected,rotate,standard,us,rotate
193239,No Plan Selected,rotate,standard,us,static
205615,No Plan Selected,rotate,standard,us,static
205741,No Plan Selected,rotate,standard,de,static
205902,No Plan Selected,rotate,standard,us,static
204838,No Plan Selected,rotate,standard,us,static
205923,No Plan Selected,rotate,standard,us,semi-3
151526,No Plan Selected,rotate,standard,us,shopify
196830,No Plan Selected,rotate,standard,us,static
206000,No Plan Selected,rotate,standard,us,semi-3
206063,No Plan Selected,rotate,standard,us,static
93174,No Plan Selected,rotate,standard,us,semi-3
206434,No Plan Selected,rotate,standard,us,static
201051,No Plan Selected,rotate,standard,us,shopify
200421,No Plan Selected,rotate,standard,br,static
116953,No Plan Selected,rotate,standard,us,static
41234,No Plan Selected,rotate,standard,us,static
206665,No Plan Selected,rotate,standard,br,static
153087,No Plan Selected,rotate,standard,us,rotate
46302,No Plan Selected,rotate,standard,us,static
210795,No Plan Selected,rotate,standard,us,static
210795,No Plan Selected,rotate,standard,us,shopify
210816,No Plan Selected,rotate,standard,de,static
210893,No Plan Selected,rotate,standard,us,static
210928,No Plan Selected,rotate,standard,us,semi-3
134061,No Plan Selected,rotate,standard,us,semi-3
27605,No Plan Selected,rotate,standard,us,semi-3
211474,No Plan Selected,rotate,standard,us,rotate
200764,No Plan Selected,rotate,standard,us,static
211572,No Plan Selected,rotate,standard,us,static
201107,No Plan Selected,rotate,standard,de,static
19597,No Plan Selected,rotate,standard,us,static
212027,No Plan Selected,rotate,standard,us,semi-3
21774,No Plan Selected,rotate,standard,us,semi-3
120516,No Plan Selected,rotate,standard,de,static
212370,No Plan Selected,rotate,standard,us,static
141194,No Plan Selected,rotate,standard,us,static
204929,No Plan Selected,rotate,standard,br,static
151631,No Plan Selected,rotate,standard,br,static
115854,No Plan Selected,rotate,standard,br,semi-3
181850,No Plan Selected,rotate,standard,us,rotate
200841,No Plan Selected,rotate,standard,de,static
212993,No Plan Selected,rotate,standard,us,sneaker
213119,No Plan Selected,rotate,standard,us,static
213385,No Plan Selected,rotate,standard,us,static
59378,No Plan Selected,rotate,standard,us,semi-3
213672,No Plan Selected,rotate,standard,us,static
213763,No Plan Selected,rotate,standard,us,semi-3
92446,No Plan Selected,rotate,standard,us,static
213966,No Plan Selected,rotate,standard,br,static
213798,No Plan Selected,rotate,standard,us,static
183180,No Plan Selected,rotate,standard,us,semi-3
214022,No Plan Selected,rotate,standard,us,static
140291,No Plan Selected,rotate,standard,us,static
214302,No Plan Selected,rotate,standard,us,semi-3
214526,No Plan Selected,rotate,standard,us,static
214729,No Plan Selected,rotate,standard,us,static
203403,No Plan Selected,rotate,standard,us,shopify
214834,No Plan Selected,rotate,standard,de,static
214855,No Plan Selected,rotate,standard,us,static
214988,No Plan Selected,rotate,standard,us,static
199532,No Plan Selected,rotate,standard,us,rotate
215268,No Plan Selected,rotate,standard,us,static
215366,No Plan Selected,rotate,standard,us,semi-3
215611,No Plan Selected,rotate,standard,us,semi-3
215842,No Plan Selected,rotate,standard,us,static
215856,No Plan Selected,rotate,standard,us,static
215905,No Plan Selected,rotate,standard,us,static
216003,No Plan Selected,rotate,standard,us,semi-3
