userid,country_code,orders,revenue,tenure,unique_product,client_status
186176,CA,1,252,631,1,Inactive
186197,BR,2,120,1530,2,Inactive
186204,US,2,1572,1421,2,Inactive
186351,US,1,1368,549,1,Inactive
186372,BR,1,624,452,1,Inactive
186512,US,1,696,563,1,Inactive
186694,US,1,78,623,1,Inactive
187751,VN,1,300,506,1,Active
18778,US,1,84,882,1,Inactive
18785,US,1,144,1060,1,Inactive
187863,ES,1,96,454,1,Active
187870,AU,1,387.6,665,1,Inactive
187947,MA,1,79.8,609,1,Active
188052,DE,1,72,516,1,Inactive
188465,US,1,3898.8,707,1,Active
18848,US,2,733.2,1997,2,Inactive
188598,US,2,996,1152,2,Inactive
188773,CA,1,60,570,1,Active
18883,MX,1,132,1133,1,Inactive
188913,US,1,252,594,1,Active
189032,US,2,2062.08,958,2,Inactive
189137,US,1,240,457,1,Inactive
189431,US,1,780,596,1,Inactive
191104,US,1,144,456,1,Inactive
191300,US,1,72,673,1,Inactive
191314,AF,1,785.04,699,1,Inactive
191615,US,1,12,764,1,Inactive
191692,VN,1,149.76,767,1,Active
191720,US,3,24270,1575,3,Inactive
191902,GB,1,150,588,1,Inactive
191944,US,1,96,508,1,Inactive
19198,JP,2,571.2,2079,2,Active
192014,AF,2,156,939,2,Active
192035,VN,1,96,762,1,Active
192056,SE,1,34.2,457,1,Inactive
192070,JP,2,204,972,1,Inactive
192329,BR,2,168,1048,2,Inactive
192385,US,1,68.4,461,1,Inactive
192413,CA,1,144,751,1,Inactive
192546,BR,1,218.4,605,1,Inactive
192707,TW,1,172.8,760,1,Active
192840,US,1,72,466,1,Inactive
192896,PK,2,432,1268,2,Inactive
192924,US,1,72,473,1,Inactive
19296,HU,1,38.16,1155,1,Active
193239,JP,1,1656,643,1,Active
193309,US,1,330.6,481,1,Inactive
193365,NL,1,96,481,1,Inactive
193379,PE,3,288,2152,3,Active
193421,CN,3,3750,1530,3,Inactive
193918,CA,1,30,640,1,Inactive
193946,US,1,948,452,1,Inactive
19408,US,1,1164,1117,1,Active
194233,US,1,72,673,1,Active
194247,JP,2,97.68,1448,2,Inactive
194261,US,1,144,610,1,Inactive
19436,BR,3,288,2538,3,Inactive
194485,TH,3,1560,1867,2,Inactive
194562,IT,1,120,458,1,Inactive
194611,US,1,288,517,1,Inactive
194716,VN,1,38.32,546,1,Inactive
194730,BR,1,115.2,457,1,Inactive
194849,CA,1,72,474,1,Inactive
195332,US,1,132,569,1,Active
195374,BR,1,34.2,610,1,Inactive
195479,CA,1,84,505,1,Inactive
195507,JO,2,708,1520,2,Active
195773,CA,1,600,506,1,Inactive
195787,GB,1,72,538,1,Active
195878,US,1,72,455,1,Inactive
195934,US,1,68.4,450,1,Inactive
19597,US,2,1896,2028,1,Inactive
195990,US,1,72,498,1,Inactive
195997,US,1,417.6,637,1,Inactive
196067,ES,1,108,478,1,Inactive
196088,US,4,3934.8,2460,2,Inactive
196228,US,1,72,475,1,Inactive
196263,IT,1,300,415,1,Inactive
196347,AU,1,72,429,1,Inactive
196368,US,1,72,442,1,Inactive
196431,US,1,72,455,1,Inactive
196459,NZ,1,72,485,1,Inactive
196578,GB,3,442.8,2128,3,Active
196718,JP,1,270.72,418,1,Inactive
196830,US,1,244.8,603,1,Inactive
196977,GB,1,150,432,1,Inactive
196991,CA,1,68.4,608,1,Inactive
197222,MX,1,158.4,443,1,Inactive
197285,IT,1,91.2,413,1,Inactive
197467,CA,2,152.4,964,2,Inactive
197530,EE,1,144,514,1,Inactive
197649,GB,2,1801.2,1128,2,Inactive
197677,DE,1,84,482,1,Inactive
197719,US,1,1573.2,419,1,Active
197803,BR,1,153.6,412,1,Inactive
197894,FR,2,168,1160,2,Inactive
198181,JP,1,67.68,490,1,Inactive
198447,JP,1,96,643,1,Active
198559,ES,1,1252.8,607,1,Inactive
198573,US,1,28.44,444,1,Inactive
198692,US,1,136.8,578,1,Inactive
198699,US,1,68.4,457,1,Inactive
198713,US,1,480,642,1,Inactive
198895,US,1,72,745,1,Active
198944,IN,1,259.2,653,1,Inactive
198965,NL,1,84,471,1,Inactive
199413,DK,3,324,1260,3,Inactive
199511,CA,1,288,755,1,Inactive
199532,MX,3,213.6,1230,3,Inactive
199630,BR,1,96,426,1,Inactive
199651,FR,1,182.4,507,1,Inactive
199665,BR,1,96,634,1,Inactive
199826,US,1,68.4,544,1,Inactive
20003,CZ,1,30,977,1,Active
200239,TW,1,480,515,1,Active
200351,GB,1,150,427,1,Inactive
200407,NZ,1,144,424,1,Inactive
200421,BR,1,96,455,1,Inactive
200540,US,1,1190.16,536,1,Inactive
200547,US,2,168,1177,2,Inactive
200638,ID,1,30,636,1,Inactive
200645,US,1,138,707,1,Active
200652,US,2,2904,1232,2,Active
200715,CA,1,273.6,693,1,Inactive
200764,MX,1,68.4,491,1,Inactive
200778,CN,1,57.2,724,1,Inactive
200841,DE,2,240,1423,2,Inactive
200869,RU,3,276,1789,3,Inactive
201051,US,2,270,1284,2,Inactive
201107,FR,1,96,615,1,Inactive
201261,US,1,72,580,1,Inactive
201716,MY,1,348,503,1,Inactive
201779,US,1,348,407,1,Inactive
201877,BR,2,246.72,899,2,Inactive
201891,US,2,450,806,2,Inactive
202052,DE,1,96,476,1,Inactive
202059,US,1,815.04,417,1,Inactive
202080,NL,1,168,513,1,Inactive
202171,JP,5,2011.2,2135,5,Active
202493,AU,1,61.2,564,1,Inactive
202542,US,3,769.2,1499,3,Inactive
202633,CA,1,30,536,1,Inactive
202647,BG,1,172.8,721,1,Active
202801,RS,1,132,462,1,Inactive
202892,US,1,72,392,1,Inactive
202913,AU,1,72,523,1,Inactive
203025,MX,1,72,425,1,Inactive
203046,IT,1,84,444,1,Active
203277,BR,1,96,455,1,Inactive
203340,CN,2,436.2,1202,2,Inactive
203403,CN,1,480,539,1,Inactive
203907,JP,2,1866.24,927,2,Inactive
203928,JP,1,67.68,581,1,Inactive
20416,US,3,736.32,3146,3,Active
204257,US,1,90,545,1,Inactive
204299,US,2,204,993,2,Inactive
204334,VN,1,36,455,1,Inactive
204502,BR,1,312,429,1,Inactive
204740,IT,1,150,376,1,Inactive
204831,BR,1,76.8,505,1,Inactive
204838,CA,1,288,650,1,Inactive
204873,NZ,1,72,389,1,Inactive
204901,CN,1,115.2,647,1,Inactive
204929,BR,1,336,402,1,Inactive
204936,JP,1,120,672,1,Inactive
205349,US,1,125.4,434,1,Active
205615,NL,1,61.2,542,1,Inactive
205741,NL,1,91.2,609,1,Inactive
20577,US,1,288,1096,1,Inactive
205902,US,1,100.8,570,1,Inactive
205923,US,2,360.6,1434,2,Inactive
206000,GB,4,297.2,2528,4,Active
206063,CA,1,72,427,1,Inactive
206252,US,1,90,624,1,Inactive
206434,AU,3,391.8,1345,3,Inactive
20647,ID,2,24000,2136,1,Inactive
206665,BR,1,96,457,1,Inactive
20745,US,1,72,1180,1,Inactive
20850,ME,1,156,1059,1,Active
20871,US,2,1158,2091,2,Inactive
210732,US,1,948,447,1,Inactive
210795,AU,1,204,635,1,Active
210816,US,1,420,393,1,Inactive
210851,JP,1,244.8,543,1,Active
210893,US,1,216,480,1,Inactive
210928,CN,2,113.88,881,2,Inactive
210949,GB,1,172.8,415,1,Inactive
211201,US,4,301.2,2304,4,Active
211404,AT,1,198,636,1,Active
211439,FR,1,72,427,1,Inactive
211474,US,1,269.28,674,1,Inactive
211572,AU,1,136.8,456,1,Inactive
211698,US,1,930,432,1,Inactive
211761,TR,2,876,1376,2,Inactive
211803,BR,1,84,711,1,Active
21193,GE,1,48,1013,1,Inactive
212027,JP,1,30,550,1,Inactive
212048,AU,1,72,702,1,Inactive
212244,IN,6,427.56,3342,6,Inactive
21228,GB,1,72,1022,1,Inactive
212370,CA,1,61.2,363,1,Inactive
2125,US,1,432,1169,1,Inactive
21256,UA,2,1392,1910,1,Active
212650,CN,1,132,692,1,Active
212797,GB,1,114,519,1,Inactive
212874,US,1,480,481,1,Inactive
212993,US,1,360,476,1,Inactive
213119,US,1,72,522,1,Inactive
213175,PL,2,582,824,2,Active
213385,US,1,144,480,1,Inactive
213420,IN,1,72,602,1,Active
213672,JP,1,244.8,358,1,Inactive
213763,US,1,30,485,1,Active
213798,US,1,288,419,1,Inactive
213882,PL,1,252,417,1,Inactive
213966,BR,1,114,497,1,Inactive
214022,US,1,396.72,363,1,Inactive
214141,US,1,376.2,461,1,Inactive
214211,US,1,96,420,1,Inactive
214302,US,1,60,350,1,Inactive
214526,AF,1,72,351,1,Inactive
214729,VN,1,76.8,352,1,Active
214834,LT,1,182.4,442,1,Inactive
214855,US,1,144,375,1,Inactive
214988,US,1,72,406,1,Inactive
215268,JP,1,102,456,1,Inactive
215366,AU,1,60,458,1,Inactive
215611,JP,1,28.2,389,1,Inactive
215653,CN,1,84,573,1,Active
215842,US,1,858,342,1,Inactive
215856,AU,1,569.32,358,1,Inactive
215905,AU,1,72,353,1,Inactive
216003,US,1,60,455,1,Inactive
216108,US,1,171,609,1,Inactive
21613,US,2,828,1845,2,Inactive
216206,US,1,68.4,419,1,Inactive
216416,AU,1,135.36,469,1,Active
216626,PK,1,72,548,1,Active
216829,JP,1,588.84,399,1,Inactive
216850,AU,1,102,415,1,Inactive
217158,AU,1,204,339,1,Inactive
217193,US,1,72,607,1,Inactive
217263,VN,1,198,567,1,Inactive
217361,DE,1,96,341,1,Inactive
217508,US,1,61.2,449,1,Inactive
217585,AL,1,132,492,1,Inactive
217718,US,1,72,526,1,Inactive
21774,RO,1,132,1096,1,Active
217816,US,1,57,580,1,Active
217963,US,1,72,584,1,Inactive
218047,TR,2,354,916,2,Active
218082,US,1,396,384,1,Inactive
218243,AE,1,72,526,1,Inactive
218698,US,1,72,540,1,Inactive
21872,NL,1,30,1195,1,Active
218747,CZ,7,6514.8,2828,7,Inactive
219048,BR,1,96,521,1,Inactive
219083,IN,2,114,858,2,Inactive
219132,DE,1,96,442,1,Inactive
219300,CH,1,61.2,361,1,Inactive
219335,JP,1,72,660,1,Inactive
219706,US,1,61.2,328,1,Inactive
219734,VN,1,57.6,563,1,Inactive
219762,GB,1,120,682,1,Active
219972,PK,1,592,375,1,Inactive
220014,DE,1,81.6,402,1,Inactive
220217,US,1,600,474,1,Inactive
220406,JP,1,244.8,430,1,Inactive
220483,GT,1,72,535,1,Inactive
220574,US,1,68.4,428,1,Inactive
220595,KR,1,1194,364,1,Inactive
220903,US,1,955.2,557,1,Inactive
221057,US,2,102,1118,2,Active
221239,BR,1,168,342,1,Inactive
221351,CO,1,1140,370,1,Inactive
221435,DE,1,192,321,1,Inactive
221666,US,1,474,376,1,Inactive
221792,US,2,318,856,2,Active
221806,JP,1,102,595,1,Active
221939,JP,1,327.12,620,1,Inactive
222030,BR,1,96,328,1,Inactive
222086,JP,1,120,437,1,Inactive
222093,BR,2,112.8,1218,2,Inactive
